id,group,value,region,date
104,Bravo,71.24,West,2026-04-14
105,Charlie,59.58,North,2026-04-15
106,Delta,51.77,South,2026-04-16
107,Echo,69.35,East,2026-04-17
108,Foxtrot,64.38,West,2026-04-18
109,Alpha,45.44,North,2026-04-19
110,Bravo,68.86,South,2026-04-20
111,Charlie,76.17,East,2026-04-21
112,Delta,64.84,West,2026-04-22
113,Echo,114.81,North,2026-04-23
114,Foxtrot,97.39,South,2026-04-24
115,Alpha,55.18,East,2026-04-25
116,Bravo,68.28,West,2026-04-26
117,Charlie,79.43,North,2026-04-27
118,Delta,88.73,South,2026-04-28
119,Echo,131.95,East,2026-04-29
120,Foxtrot,138.98,West,2026-04-30
121,Alpha,57.2,North,2026-05-01
122,Bravo,70.01,South,2026-05-02
123,Charlie,61.37,East,2026-05-03
124,Delta,112.96,West,2026-05-04
125,Echo,85.96,North,2026-05-05
126,Foxtrot,89.11,South,2026-05-06
127,Alpha,45.05,East,2026-05-07
128,Bravo,62.95,West,2026-05-08
129,Charlie,71.76,North,2026-05-09
130,Delta,92.98,South,2026-05-10
131,Echo,93.75,East,2026-05-11
132,Foxtrot,103.51,West,2026-05-12
133,Alpha,52.03,North,2026-05-13
134,Bravo,49.64,South,2026-05-14
135,Charlie,56.96,East,2026-05-15
136,Delta,82.68,West,2026-05-16
137,Echo,96.4,North,2026-05-17
138,Foxtrot,78.7,South,2026-05-18
139,Alpha,50.12,East,2026-05-19
140,Bravo,61.4,West,2026-05-20
141,Charlie,92.18,North,2026-05-21
142,Delta,102.59,South,2026-05-22
143,Echo,119.37,East,2026-05-23
144,Foxtrot,98.28,West,2026-05-24
145,Alpha,59.75,North,2026-05-25
146,Bravo,55.08,South,2026-05-26
147,Charlie,74.75,East,2026-05-27
148,Delta,77.02,West,2026-05-28
149,Echo,59.58,North,2026-05-29
150,Foxtrot,139.31,South,2026-05-30
151,Alpha,54.84,East,2026-05-31
152,Bravo,45.02,West,2026-06-01
153,Charlie,74.02,North,2026-06-02
154,Delta,81.54,South,2026-06-03
155,Echo,129.46,East,2026-06-04
156,Foxtrot,107.81,West,2026-06-05
157,Alpha,54.29,North,2026-06-06
158,Bravo,63.8,South,2026-06-07
159,Charlie,70.48,East,2026-06-08
160,Delta,51.63,West,2026-06-09
161,Echo,93.4,North,2026-06-10
162,Foxtrot,127.71,South,2026-06-11
163,Alpha,50.28,East,2026-06-12
164,Bravo,61.52,West,2026-06-13
165,Charlie,65.46,North,2026-06-14
166,Delta,75.01,South,2026-06-15
167,Echo,76.43,East,2026-06-16
168,Foxtrot,95.63,West,2026-06-17
169,Alpha,45.5,North,2026-06-18
170,Bravo,41.68,South,2026-06-19
171,Charlie,74.5,East,2026-06-20
172,Delta,97.41,West,2026-06-21
173,Echo,86.06,North,2026-06-22
174,Foxtrot,91.66,South,2026-06-23
175,Alpha,52.69,East,2026-06-24
176,Bravo,69.98,West,2026-06-25
177,Charlie,64.25,North,2026-06-26
178,Delta,63.49,South,2026-06-27
179,Echo,84.23,East,2026-06-28
180,Foxtrot,162.08,West,2026-06-29
181,Alpha,52.73,North,2026-06-30
182,Bravo,59.93,South,2026-07-01
183,Charlie,43.44,East,2026-07-02
184,Delta,88.12,West,2026-07-03
185,Echo,122.25,North,2026-07-04
186,Foxtrot,114.36,South,2026-07-05
187,Alpha,42.65,East,2026-07-06
188,Bravo,50.93,West,2026-07-07
189,Charlie,61.36,North,2026-07-08
190,Delta,89.92,South,2026-07-09
191,Echo,112.41,East,2026-07-10
192,Foxtrot,92.11,West,2026-07-11
193,Alpha,49.58,North,2026-07-12
194,Bravo,65.64,South,2026-07-13
195,Charlie,79.97,East,2026-07-14
196,Delta,77.88,West,2026-07-15
197,Echo,128.05,North,2026-07-16
198,Foxtrot,98.87,South,2026-07-17
199,Alpha,44.57,East,2026-07-18
200,Bravo,38.19,West,2026-07-19
201,Charlie,78.47,North,2026-07-20
202,Delta,93.64,South,2026-07-21
203,Echo,109.82,East,2026-07-22
204,Foxtrot,101.62,West,2026-07-23
205,Alpha,56.04,North,2026-07-24
206,Bravo,67.82,South,2026-07-25
207,Charlie,87.69,East,2026-07-26
208,Delta,60.78,West,2026-07-27
209,Echo,66.86,North,2026-07-28
210,Foxtrot,137.86,South,2026-07-29
211,Alpha,50.16,East,2026-07-30
212,Bravo,66.07,West,2026-07-31
213,Charlie,71,North,2026-08-01
214,Delta,58.48,South,2026-08-02
215,Echo,119.14,East,2026-08-03
216,Foxtrot,108.78,West,2026-08-04
217,Alpha,48.2,North,2026-08-05
218,Bravo,64.01,South,2026-08-06
219,Charlie,88.6,East,2026-08-07
220,Delta,73.09,West,2026-08-08
221,Echo,70.88,North,2026-08-09
222,Foxtrot,124,South,2026-08-10
223,Alpha,35.24,East,2026-08-11
224,Bravo,56.81,West,2026-08-12
225,Charlie,69.86,North,2026-08-13
226,Delta,105.61,South,2026-08-14
227,Echo,86.46,East,2026-08-15
228,Foxtrot,106.22,West,2026-08-16
229,Alpha,55.78,North,2026-08-17
230,Bravo,55.77,South,2026-08-18
231,Charlie,74.11,East,2026-08-19
232,Delta,53.56,West,2026-08-20
233,Echo,88.05,North,2026-08-21
234,Foxtrot,89.57,South,2026-08-22
235,Alpha,49.18,East,2026-08-23
236,Bravo,59.42,West,2026-08-24
237,Charlie,76.5,North,2026-08-25
238,Delta,75.14,South,2026-08-26
239,Echo,97.35,East,2026-08-27
240,Foxtrot,107.54,West,2026-08-28
241,Alpha,55.21,North,2026-08-29
242,Bravo,60.24,South,2026-08-30
243,Charlie,88.89,East,2026-08-31
244,Delta,83.22,West,2026-09-01
245,Echo,53.84,North,2026-09-02
246,Foxtrot,124.81,South,2026-09-03
247,Alpha,56.27,East,2026-09-04
248,Bravo,71.41,West,2026-09-05
249,Charlie,105.51,North,2026-09-06
250,Delta,81.8,South,2026-09-07
251,Echo,115.27,East,2026-09-08
252,Foxtrot,90.08,West,2026-09-09
253,Alpha,47.48,North,2026-09-10
254,Bravo,67.43,South,2026-09-11
255,Charlie,98.83,East,2026-09-12
256,Delta,85.61,West,2026-09-13
257,Echo,85.76,North,2026-09-14
258,Foxtrot,119.44,South,2026-09-15
259,Alpha,52.47,East,2026-09-16
260,Bravo,67.11,West,2026-09-17
261,Charlie,59.05,North,2026-09-18
262,Delta,75.44,South,2026-09-19
263,Echo,113.51,East,2026-09-20
264,Foxtrot,81.78,West,2026-09-21
265,Alpha,50.45,North,2026-09-22
266,Bravo,58.17,South,2026-09-23
267,Charlie,74.43,East,2026-09-24
268,Delta,79.2,West,2026-09-25
269,Echo,85.74,North,2026-09-26
270,Foxtrot,117.43,South,2026-09-27
271,Alpha,44.13,East,2026-09-28
272,Bravo,51.22,West,2026-09-29
273,Charlie,86.67,North,2026-09-30
274,Delta,64.35,South,2026-10-01
275,Echo,86.27,East,2026-10-02
276,Foxtrot,115.59,West,2026-10-03
277,Alpha,46.31,North,2026-10-04
278,Bravo,62.81,South,2026-10-05
279,Charlie,59.6,East,2026-10-06
280,Delta,87.35,West,2026-10-07
281,Echo,78.08,North,2026-10-08
282,Foxtrot,105.38,South,2026-10-09
283,Alpha,43.39,East,2026-10-10
284,Bravo,60.71,West,2026-10-11
285,Charlie,75.52,North,2026-10-12
286,Delta,87.08,South,2026-10-13
287,Echo,46.99,East,2026-10-14
288,Foxtrot,94.81,West,2026-10-15
289,Alpha,53.98,North,2026-10-16
290,Bravo,45.69,South,2026-10-17
291,Charlie,64.11,East,2026-10-18
292,Delta,71.87,West,2026-10-19
293,Echo,103.35,North,2026-10-20
294,Foxtrot,102.15,South,2026-10-21
295,Alpha,49.2,East,2026-10-22
296,Bravo,71.71,West,2026-10-23
297,Charlie,81.66,North,2026-10-24
298,Delta,70.39,South,2026-10-25
299,Echo,109.59,East,2026-10-26
300,Foxtrot,111.17,West,2026-10-27
